cue1_vertical,cue1_horizontal,cue1_rightleft,cue1_leftright,cue2_vertical,cue2_horizontal,cue2_rightleft,cue2_leftright,flanker1,flanker2,target,flanker3,flanker4,cue_location,sequence_location,cue_type,target_direction,target_congruent
"[[0,0.785],[0,1.335]]","[[-0.275,1.06],[0.275,1.06]]","[[0.275,1.335],[-0.275,0.785]]","[[-0.275,1.335],[0.275,0.785]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[-1.495, 1.06],[-1.495, 1.0725],[-1.0, 1.0725],[-1.07, 1.185],[-0.945, 1.06625],[-1.07, 0.96],[-1.0, 1.06]]","[[-0.885, 1.06],[-0.885, 1.0725],[-0.39, 1.0725],[-0.46, 1.185],[-0.335, 1.06625],[-0.46, 0.96],[-0.39, 1.06]]","[[0.275, 1.06],[0.275, 1.0725],[-0.22, 1.0725],[-0.15, 1.185],[-0.275, 1.06625],[-0.15, 0.96],[-0.22, 1.06]]","[[0.335, 1.06],[0.335, 1.0725],[0.83, 1.0725],[0.76, 1.185],[0.885, 1.06625],[0.76, 0.96],[0.83, 1.06]]","[[0.945, 1.06],[0.945, 1.0725],[1.44, 1.0725],[1.37, 1.185],[1.495, 1.06625],[1.37, 0.96],[1.44, 1.06]]",up,up,spatial valid,left,no
"[[0,0.785],[0,1.335]]","[[-0.275,1.06],[0.275,1.06]]","[[0.275,1.335],[-0.275,0.785]]","[[-0.275,1.335],[0.275,0.785]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[-1.495, 1.06],[-1.495, 1.0725],[-1.0, 1.0725],[-1.07, 1.185],[-0.945, 1.06625],[-1.07, 0.96],[-1.0, 1.06]]","[[-0.885, 1.06],[-0.885, 1.0725],[-0.39, 1.0725],[-0.46, 1.185],[-0.335, 1.06625],[-0.46, 0.96],[-0.39, 1.06]]","[[-0.275, 1.06],[-0.275, 1.0725],[0.22, 1.0725],[0.15, 1.185],[0.275, 1.06625],[0.15, 0.96],[0.22, 1.06]]","[[0.335, 1.06],[0.335, 1.0725],[0.83, 1.0725],[0.76, 1.185],[0.885, 1.06625],[0.76, 0.96],[0.83, 1.06]]","[[0.945, 1.06],[0.945, 1.0725],[1.44, 1.0725],[1.37, 1.185],[1.495, 1.06625],[1.37, 0.96],[1.44, 1.06]]",up,up,spatial valid,right,yes
"[[0,0.785],[0,1.335]]","[[-0.275,1.06],[0.275,1.06]]","[[0.275,1.335],[-0.275,0.785]]","[[-0.275,1.335],[0.275,0.785]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[-1.495, 1.06],[-1.495, 1.0725],[-1.0, 1.0725],[-1.07, 1.185],[-0.945, 1.06625],[-1.07, 0.96],[-1.0, 1.06]]","[[-0.885, 1.06],[-0.885, 1.0725],[-0.39, 1.0725],[-0.46, 1.185],[-0.335, 1.06625],[-0.46, 0.96],[-0.39, 1.06]]","[[0.275, 1.06],[0.275, 1.0725],[-0.22, 1.0725],[-0.15, 1.185],[-0.275, 1.06625],[-0.15, 0.96],[-0.22, 1.06]]","[[0.335, 1.06],[0.335, 1.0725],[0.83, 1.0725],[0.76, 1.185],[0.885, 1.06625],[0.76, 0.96],[0.83, 1.06]]","[[0.945, 1.06],[0.945, 1.0725],[1.44, 1.0725],[1.37, 1.185],[1.495, 1.06625],[1.37, 0.96],[1.44, 1.06]]",up,up,spatial valid,left,no
"[[0,0.785],[0,1.335]]","[[-0.275,1.06],[0.275,1.06]]","[[0.275,1.335],[-0.275,0.785]]","[[-0.275,1.335],[0.275,0.785]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[-0.945, 1.06],[-0.945, 1.0725],[-1.44, 1.0725],[-1.37, 1.185],[-1.495, 1.06625],[-1.37, 0.96],[-1.44, 1.06]]","[[-0.335, 1.06],[-0.335, 1.0725],[-0.83, 1.0725],[-0.76, 1.185],[-0.885, 1.06625],[-0.76, 0.96],[-0.83, 1.06]]","[[-0.275, 1.06],[-0.275, 1.0725],[0.22, 1.0725],[0.15, 1.185],[0.275, 1.06625],[0.15, 0.96],[0.22, 1.06]]","[[0.885, 1.06],[0.885, 1.0725],[0.39, 1.0725],[0.46, 1.185],[0.335, 1.06625],[0.46, 0.96],[0.39, 1.06]]","[[1.495, 1.06],[1.495, 1.0725],[1.0, 1.0725],[1.07, 1.185],[0.945, 1.06625],[1.07, 0.96],[1.0, 1.06]]",up,up,spatial valid,right,no
"[[0,0.785],[0,1.335]]","[[-0.275,1.06],[0.275,1.06]]","[[0.275,1.335],[-0.275,0.785]]","[[-0.275,1.335],[0.275,0.785]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[-0.945, 1.06],[-0.945, 1.0725],[-1.44, 1.0725],[-1.37, 1.185],[-1.495, 1.06625],[-1.37, 0.96],[-1.44, 1.06]]","[[-0.335, 1.06],[-0.335, 1.0725],[-0.83, 1.0725],[-0.76, 1.185],[-0.885, 1.06625],[-0.76, 0.96],[-0.83, 1.06]]","[[-0.275, 1.06],[-0.275, 1.0725],[0.22, 1.0725],[0.15, 1.185],[0.275, 1.06625],[0.15, 0.96],[0.22, 1.06]]","[[0.885, 1.06],[0.885, 1.0725],[0.39, 1.0725],[0.46, 1.185],[0.335, 1.06625],[0.46, 0.96],[0.39, 1.06]]","[[1.495, 1.06],[1.495, 1.0725],[1.0, 1.0725],[1.07, 1.185],[0.945, 1.06625],[1.07, 0.96],[1.0, 1.06]]",up,up,spatial valid,right,no
"[[0,0.785],[0,1.335]]","[[-0.275,1.06],[0.275,1.06]]","[[0.275,1.335],[-0.275,0.785]]","[[-0.275,1.335],[0.275,0.785]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[-1.495, 1.06],[-1.495, 1.0725],[-1.0, 1.0725],[-1.07, 1.185],[-0.945, 1.06625],[-1.07, 0.96],[-1.0, 1.06]]","[[-0.885, 1.06],[-0.885, 1.0725],[-0.39, 1.0725],[-0.46, 1.185],[-0.335, 1.06625],[-0.46, 0.96],[-0.39, 1.06]]","[[0.275, 1.06],[0.275, 1.0725],[-0.22, 1.0725],[-0.15, 1.185],[-0.275, 1.06625],[-0.15, 0.96],[-0.22, 1.06]]","[[0.335, 1.06],[0.335, 1.0725],[0.83, 1.0725],[0.76, 1.185],[0.885, 1.06625],[0.76, 0.96],[0.83, 1.06]]","[[0.945, 1.06],[0.945, 1.0725],[1.44, 1.0725],[1.37, 1.185],[1.495, 1.06625],[1.37, 0.96],[1.44, 1.06]]",up,up,spatial valid,left,no
"[[0,-0.785],[0,-1.335]]","[[-0.275,-1.06],[0.275,-1.06]]","[[0.275,-1.335],[-0.275,-0.785]]","[[-0.275,-1.335],[0.275,-0.785]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[-0.945, -1.06],[-0.945, -1.0725],[-1.44, -1.0725],[-1.37, -1.185],[-1.495, -1.06625],[-1.37, -0.96],[-1.44, -1.06]]","[[-0.335, -1.06],[-0.335, -1.0725],[-0.83, -1.0725],[-0.76, -1.185],[-0.885, -1.06625],[-0.76, -0.96],[-0.83, -1.06]]","[[0.275, -1.06],[0.275, -1.0725],[-0.22, -1.0725],[-0.15, -1.185],[-0.275, -1.06625],[-0.15, -0.96],[-0.22, -1.06]]","[[0.885, -1.06],[0.885, -1.0725],[0.39, -1.0725],[0.46, -1.185],[0.335, -1.06625],[0.46, -0.96],[0.39, -1.06]]","[[1.495, -1.06],[1.495, -1.0725],[1.0, -1.0725],[1.07, -1.185],[0.945, -1.06625],[1.07, -0.96],[1.0, -1.06]]",down,down,spatial valid,left,yes
"[[0,0.785],[0,1.335]]","[[-0.275,1.06],[0.275,1.06]]","[[0.275,1.335],[-0.275,0.785]]","[[-0.275,1.335],[0.275,0.785]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[-0.945, 1.06],[-0.945, 1.0725],[-1.44, 1.0725],[-1.37, 1.185],[-1.495, 1.06625],[-1.37, 0.96],[-1.44, 1.06]]","[[-0.335, 1.06],[-0.335, 1.0725],[-0.83, 1.0725],[-0.76, 1.185],[-0.885, 1.06625],[-0.76, 0.96],[-0.83, 1.06]]","[[-0.275, 1.06],[-0.275, 1.0725],[0.22, 1.0725],[0.15, 1.185],[0.275, 1.06625],[0.15, 0.96],[0.22, 1.06]]","[[0.885, 1.06],[0.885, 1.0725],[0.39, 1.0725],[0.46, 1.185],[0.335, 1.06625],[0.46, 0.96],[0.39, 1.06]]","[[1.495, 1.06],[1.495, 1.0725],[1.0, 1.0725],[1.07, 1.185],[0.945, 1.06625],[1.07, 0.96],[1.0, 1.06]]",up,up,spatial valid,right,no
"[[0,-0.785],[0,-1.335]]","[[-0.275,-1.06],[0.275,-1.06]]","[[0.275,-1.335],[-0.275,-0.785]]","[[-0.275,-1.335],[0.275,-0.785]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[-0.945, -1.06],[-0.945, -1.0725],[-1.44, -1.0725],[-1.37, -1.185],[-1.495, -1.06625],[-1.37, -0.96],[-1.44, -1.06]]","[[-0.335, -1.06],[-0.335, -1.0725],[-0.83, -1.0725],[-0.76, -1.185],[-0.885, -1.06625],[-0.76, -0.96],[-0.83, -1.06]]","[[0.275, -1.06],[0.275, -1.0725],[-0.22, -1.0725],[-0.15, -1.185],[-0.275, -1.06625],[-0.15, -0.96],[-0.22, -1.06]]","[[0.885, -1.06],[0.885, -1.0725],[0.39, -1.0725],[0.46, -1.185],[0.335, -1.06625],[0.46, -0.96],[0.39, -1.06]]","[[1.495, -1.06],[1.495, -1.0725],[1.0, -1.0725],[1.07, -1.185],[0.945, -1.06625],[1.07, -0.96],[1.0, -1.06]]",down,down,spatial valid,left,yes
"[[0,-0.785],[0,-1.335]]","[[-0.275,-1.06],[0.275,-1.06]]","[[0.275,-1.335],[-0.275,-0.785]]","[[-0.275,-1.335],[0.275,-0.785]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[-1.495, -1.06],[-1.495, -1.0725],[-1.0, -1.0725],[-1.07, -1.185],[-0.945, -1.06625],[-1.07, -0.96],[-1.0, -1.06]]","[[-0.885, -1.06],[-0.885, -1.0725],[-0.39, -1.0725],[-0.46, -1.185],[-0.335, -1.06625],[-0.46, -0.96],[-0.39, -1.06]]","[[-0.275, -1.06],[-0.275, -1.0725],[0.22, -1.0725],[0.15, -1.185],[0.275, -1.06625],[0.15, -0.96],[0.22, -1.06]]","[[0.335, -1.06],[0.335, -1.0725],[0.83, -1.0725],[0.76, -1.185],[0.885, -1.06625],[0.76, -0.96],[0.83, -1.06]]","[[0.945, -1.06],[0.945, -1.0725],[1.44, -1.0725],[1.37, -1.185],[1.495, -1.06625],[1.37, -0.96],[1.44, -1.06]]",down,down,spatial valid,right,yes
"[[0,-0.785],[0,-1.335]]","[[-0.275,-1.06],[0.275,-1.06]]","[[0.275,-1.335],[-0.275,-0.785]]","[[-0.275,-1.335],[0.275,-0.785]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[-0.945, -1.06],[-0.945, -1.0725],[-1.44, -1.0725],[-1.37, -1.185],[-1.495, -1.06625],[-1.37, -0.96],[-1.44, -1.06]]","[[-0.335, -1.06],[-0.335, -1.0725],[-0.83, -1.0725],[-0.76, -1.185],[-0.885, -1.06625],[-0.76, -0.96],[-0.83, -1.06]]","[[0.275, -1.06],[0.275, -1.0725],[-0.22, -1.0725],[-0.15, -1.185],[-0.275, -1.06625],[-0.15, -0.96],[-0.22, -1.06]]","[[0.885, -1.06],[0.885, -1.0725],[0.39, -1.0725],[0.46, -1.185],[0.335, -1.06625],[0.46, -0.96],[0.39, -1.06]]","[[1.495, -1.06],[1.495, -1.0725],[1.0, -1.0725],[1.07, -1.185],[0.945, -1.06625],[1.07, -0.96],[1.0, -1.06]]",down,down,spatial valid,left,yes
"[[0,-0.785],[0,-1.335]]","[[-0.275,-1.06],[0.275,-1.06]]","[[0.275,-1.335],[-0.275,-0.785]]","[[-0.275,-1.335],[0.275,-0.785]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[None,None],[None,None]]","[[-1.495, -1.06],[-1.495, -1.0725],[-1.0, -1.0725],[-1.07, -1.185],[-0.945, -1.06625],[-1.07, -0.96],[-1.0, -1.06]]","[[-0.885, -1.06],[-0.885, -1.0725],[-0.39, -1.0725],[-0.46, -1.185],[-0.335, -1.06625],[-0.46, -0.96],[-0.39, -1.06]]","[[-0.275, -1.06],[-0.275, -1.0725],[0.22, -1.0725],[0.15, -1.185],[0.275, -1.06625],[0.15, -0.96],[0.22, -1.06]]","[[0.335, -1.06],[0.335, -1.0725],[0.83, -1.0725],[0.76, -1.185],[0.885, -1.06625],[0.76, -0.96],[0.83, -1.06]]","[[0.945, -1.06],[0.945, -1.0725],[1.44, -1.0725],[1.37, -1.185],[1.495, -1.06625],[1.37, -0.96],[1.44, -1.06]]",down,down,spatial valid,right,yes
"[[0,0.785],[0,1.335]]","[[-0.275,1.06],[0.275,1.06]]","[[0.275,1.335],[-0.275,0.785]]","[[-0.275,1.335],[0.275,0.785]]","[[0,-0.785],[0,-1.335]]","[[-0.275,-1.06],[0.275,-1.06]]","[[0.275,-1.335],[-0.275,-0.785]]","[[-0.275,-1.335],[0.275,-0.785]]","[[-0.945, 1.06],[-0.945, 1.0725],[-1.44, 1.0725],[-1.37, 1.185],[-1.495, 1.06625],[-1.37, 0.96],[-1.44, 1.06]]","[[-0.335, 1.06],[-0.335, 1.0725],[-0.83, 1.0725],[-0.76, 1.185],[-0.885, 1.06625],[-0.76, 0.96],[-0.83, 1.06]]","[[0.275, 1.06],[0.275, 1.0725],[-0.22, 1.0725],[-0.15, 1.185],[-0.275, 1.06625],[-0.15, 0.96],[-0.22, 1.06]]","[[0.885, 1.06],[0.885, 1.0725],[0.39, 1.0725],[0.46, 1.185],[0.335, 1.06625],[0.46, 0.96],[0.39, 1.06]]","[[1.495, 1.06],[1.495, 1.0725],[1.0, 1.0725],[1.07, 1.185],[0.945, 1.06625],[1.07, 0.96],[1.0, 1.06]]",both,up,double,left,yes
"[[0,0.785],[0,1.335]]","[[-0.275,1.06],[0.275,1.06]]","[[0.275,1.335],[-0.275,0.785]]","[[-0.275,1.335],[0.275,0.785]]","[[0,-0.785],[0,-1.335]]","[[-0.275,-1.06],[0.275,-1.06]]","[[0.275,-1.335],[-0.275,-0.785]]","[[-0.275,-1.335],[0.275,-0.785]]","[[-1.495, 1.06],[-1.495, 1.0725],[-1.0, 1.0725],[-1.07, 1.185],[-0.945, 1.06625],[-1.07, 0.96],[-1.0, 1.06]]","[[-0.885, 1.06],[-0.885, 1.0725],[-0.39, 1.0725],[-0.46, 1.185],[-0.335, 1.06625],[-0.46, 0.96],[-0.39, 1.06]]","[[-0.275, 1.06],[-0.275, 1.0725],[0.22, 1.0725],[0.15, 1.185],[0.275, 1.06625],[0.15, 0.96],[0.22, 1.06]]","[[0.335, 1.06],[0.335, 1.0725],[0.83, 1.0725],[0.76, 1.185],[0.885, 1.06625],[0.76, 0.96],[0.83, 1.06]]","[[0.945, 1.06],[0.945, 1.0725],[1.44, 1.0725],[1.37, 1.185],[1.495, 1.06625],[1.37, 0.96],[1.44, 1.06]]",both,up,double,right,yes
"[[0,0.785],[0,1.335]]","[[-0.275,1.06],[0.275,1.06]]","[[0.275,1.335],[-0.275,0.785]]","[[-0.275,1.335],[0.275,0.785]]","[[0,-0.785],[0,-1.335]]","[[-0.275,-1.06],[0.275,-1.06]]","[[0.275,-1.335],[-0.275,-0.785]]","[[-0.275,-1.335],[0.275,-0.785]]","[[-0.945, -1.06],[-0.945, -1.0725],[-1.44, -1.0725],[-1.37, -1.185],[-1.495, -1.06625],[-1.37, -0.96],[-1.44, -1.06]]","[[-0.335, -1.06],[-0.335, -1.0725],[-0.83, -1.0725],[-0.76, -1.185],[-0.885, -1.06625],[-0.76, -0.96],[-0.83, -1.06]]","[[0.275, -1.06],[0.275, -1.0725],[-0.22, -1.0725],[-0.15, -1.185],[-0.275, -1.06625],[-0.15, -0.96],[-0.22, -1.06]]","[[0.885, -1.06],[0.885, -1.0725],[0.39, -1.0725],[0.46, -1.185],[0.335, -1.06625],[0.46, -0.96],[0.39, -1.06]]","[[1.495, -1.06],[1.495, -1.0725],[1.0, -1.0725],[1.07, -1.185],[0.945, -1.06625],[1.07, -0.96],[1.0, -1.06]]",both,down,double,left,yes
"[[0,0.785],[0,1.335]]","[[-0.275,1.06],[0.275,1.06]]","[[0.275,1.335],[-0.275,0.785]]","[[-0.275,1.335],[0.275,0.785]]","[[0,-0.785],[0,-1.335]]","[[-0.275,-1.06],[0.275,-1.06]]","[[0.275,-1.335],[-0.275,-0.785]]","[[-0.275,-1.335],[0.275,-0.785]]","[[-1.495, -1.06],[-1.495, -1.0725],[-1.0, -1.0725],[-1.07, -1.185],[-0.945, -1.06625],[-1.07, -0.96],[-1.0, -1.06]]","[[-0.885, -1.06],[-0.885, -1.0725],[-0.39, -1.0725],[-0.46, -1.185],[-0.335, -1.06625],[-0.46, -0.96],[-0.39, -1.06]]","[[-0.275, -1.06],[-0.275, -1.0725],[0.22, -1.0725],[0.15, -1.185],[0.275, -1.06625],[0.15, -0.96],[0.22, -1.06]]","[[0.335, -1.06],[0.335, -1.0725],[0.83, -1.0725],[0.76, -1.185],[0.885, -1.06625],[0.76, -0.96],[0.83, -1.06]]","[[0.945, -1.06],[0.945, -1.0725],[1.44, -1.0725],[1.37, -1.185],[1.495, -1.06625],[1.37, -0.96],[1.44, -1.06]]",both,down,double,right,yes
"[[0,0.785],[0,1.335]]","[[-0.275,1.06],[0.275,1.06]]","[[0.275,1.335],[-0.275,0.785]]","[[-0.275,1.335],[0.275,0.785]]","[[0,-0.785],[0,-1.335]]","[[-0.275,-1.06],[0.275,-1.06]]","[[0.275,-1.335],[-0.275,-0.785]]","[[-0.275,-1.335],[0.275,-0.785]]","[[-0.945, 1.06],[-0.945, 1.0725],[-1.44, 1.0725],[-1.37, 1.185],[-1.495, 1.06625],[-1.37, 0.96],[-1.44, 1.06]]","[[-0.335, 1.06],[-0.335, 1.0725],[-0.83, 1.0725],[-0.76, 1.185],[-0.885, 1.06625],[-0.76, 0.96],[-0.83, 1.06]]","[[0.275, 1.06],[0.275, 1.0725],[-0.22, 1.0725],[-0.15, 1.185],[-0.275, 1.06625],[-0.15, 0.96],[-0.22, 1.06]]","[[0.885, 1.06],[0.885, 1.0725],[0.39, 1.0725],[0.46, 1.185],[0.335, 1.06625],[0.46, 0.96],[0.39, 1.06]]","[[1.495, 1.06],[1.495, 1.0725],[1.0, 1.0725],[1.07, 1.185],[0.945, 1.06625],[1.07, 0.96],[1.0, 1.06]]",both,up,double,left,yes
"[[0,0.785],[0,1.335]]","[[-0.275,1.06],[0.275,1.06]]","[[0.275,1.335],[-0.275,0.785]]","[[-0.275,1.335],[0.275,0.785]]","[[0,-0.785],[0,-1.335]]","[[-0.275,-1.06],[0.275,-1.06]]","[[0.275,-1.335],[-0.275,-0.785]]","[[-0.275,-1.335],[0.275,-0.785]]","[[-1.495, 1.06],[-1.495, 1.0725],[-1.0, 1.0725],[-1.07, 1.185],[-0.945, 1.06625],[-1.07, 0.96],[-1.0, 1.06]]","[[-0.885, 1.06],[-0.885, 1.0725],[-0.39, 1.0725],[-0.46, 1.185],[-0.335, 1.06625],[-0.46, 0.96],[-0.39, 1.06]]","[[-0.275, 1.06],[-0.275, 1.0725],[0.22, 1.0725],[0.15, 1.185],[0.275, 1.06625],[0.15, 0.96],[0.22, 1.06]]","[[0.335, 1.06],[0.335, 1.0725],[0.83, 1.0725],[0.76, 1.185],[0.885, 1.06625],[0.76, 0.96],[0.83, 1.06]]","[[0.945, 1.06],[0.945, 1.0725],[1.44, 1.0725],[1.37, 1.185],[1.495, 1.06625],[1.37, 0.96],[1.44, 1.06]]",both,up,double,right,yes
"[[0,0.785],[0,1.335]]","[[-0.275,1.06],[0.275,1.06]]","[[0.275,1.335],[-0.275,0.785]]","[[-0.275,1.335],[0.275,0.785]]","[[0,-0.785],[0,-1.335]]","[[-0.275,-1.06],[0.275,-1.06]]","[[0.275,-1.335],[-0.275,-0.785]]","[[-0.275,-1.335],[0.275,-0.785]]","[[-0.945, 1.06],[-0.945, 1.0725],[-1.44, 1.0725],[-1.37, 1.185],[-1.495, 1.06625],[-1.37, 0.96],[-1.44, 1.06]]","[[-0.335, 1.06],[-0.335, 1.0725],[-0.83, 1.0725],[-0.76, 1.185],[-0.885, 1.06625],[-0.76, 0.96],[-0.83, 1.06]]","[[-0.275, 1.06],[-0.275, 1.0725],[0.22, 1.0725],[0.15, 1.185],[0.275, 1.06625],[0.15, 0.96],[0.22, 1.06]]","[[0.885, 1.06],[0.885, 1.0725],[0.39, 1.0725],[0.46, 1.185],[0.335, 1.06625],[0.46, 0.96],[0.39, 1.06]]","[[1.495, 1.06],[1.495, 1.0725],[1.0, 1.0725],[1.07, 1.185],[0.945, 1.06625],[1.07, 0.96],[1.0, 1.06]]",both,up,double,right,no
"[[0,0.785],[0,1.335]]","[[-0.275,1.06],[0.275,1.06]]","[[0.275,1.335],[-0.275,0.785]]","[[-0.275,1.335],[0.275,0.785]]","[[0,-0.785],[0,-1.335]]","[[-0.275,-1.06],[0.275,-1.06]]","[[0.275,-1.335],[-0.275,-0.785]]","[[-0.275,-1.335],[0.275,-0.785]]","[[-1.495, 1.06],[-1.495, 1.0725],[-1.0, 1.0725],[-1.07, 1.185],[-0.945, 1.06625],[-1.07, 0.96],[-1.0, 1.06]]","[[-0.885, 1.06],[-0.885, 1.0725],[-0.39, 1.0725],[-0.46, 1.185],[-0.335, 1.06625],[-0.46, 0.96],[-0.39, 1.06]]","[[0.275, 1.06],[0.275, 1.0725],[-0.22, 1.0725],[-0.15, 1.185],[-0.275, 1.06625],[-0.15, 0.96],[-0.22, 1.06]]","[[0.335, 1.06],[0.335, 1.0725],[0.83, 1.0725],[0.76, 1.185],[0.885, 1.06625],[0.76, 0.96],[0.83, 1.06]]","[[0.945, 1.06],[0.945, 1.0725],[1.44, 1.0725],[1.37, 1.185],[1.495, 1.06625],[1.37, 0.96],[1.44, 1.06]]",both,up,double,left,no
"[[0,0.785],[0,1.335]]","[[-0.275,1.06],[0.275,1.06]]","[[0.275,1.335],[-0.275,0.785]]","[[-0.275,1.335],[0.275,0.785]]","[[0,-0.785],[0,-1.335]]","[[-0.275,-1.06],[0.275,-1.06]]","[[0.275,-1.335],[-0.275,-0.785]]","[[-0.275,-1.335],[0.275,-0.785]]","[[-0.945, 1.06],[-0.945, 1.0725],[-1.44, 1.0725],[-1.37, 1.185],[-1.495, 1.06625],[-1.37, 0.96],[-1.44, 1.06]]","[[-0.335, 1.06],[-0.335, 1.0725],[-0.83, 1.0725],[-0.76, 1.185],[-0.885, 1.06625],[-0.76, 0.96],[-0.83, 1.06]]","[[-0.275, 1.06],[-0.275, 1.0725],[0.22, 1.0725],[0.15, 1.185],[0.275, 1.06625],[0.15, 0.96],[0.22, 1.06]]","[[0.885, 1.06],[0.885, 1.0725],[0.39, 1.0725],[0.46, 1.185],[0.335, 1.06625],[0.46, 0.96],[0.39, 1.06]]","[[1.495, 1.06],[1.495, 1.0725],[1.0, 1.0725],[1.07, 1.185],[0.945, 1.06625],[1.07, 0.96],[1.0, 1.06]]",both,up,double,right,no
"[[0,0.785],[0,1.335]]","[[-0.275,1.06],[0.275,1.06]]","[[0.275,1.335],[-0.275,0.785]]","[[-0.275,1.335],[0.275,0.785]]","[[0,-0.785],[0,-1.335]]","[[-0.275,-1.06],[0.275,-1.06]]","[[0.275,-1.335],[-0.275,-0.785]]","[[-0.275,-1.335],[0.275,-0.785]]","[[-1.495, 1.06],[-1.495, 1.0725],[-1.0, 1.0725],[-1.07, 1.185],[-0.945, 1.06625],[-1.07, 0.96],[-1.0, 1.06]]","[[-0.885, 1.06],[-0.885, 1.0725],[-0.39, 1.0725],[-0.46, 1.185],[-0.335, 1.06625],[-0.46, 0.96],[-0.39, 1.06]]","[[0.275, 1.06],[0.275, 1.0725],[-0.22, 1.0725],[-0.15, 1.185],[-0.275, 1.06625],[-0.15, 0.96],[-0.22, 1.06]]","[[0.335, 1.06],[0.335, 1.0725],[0.83, 1.0725],[0.76, 1.185],[0.885, 1.06625],[0.76, 0.96],[0.83, 1.06]]","[[0.945, 1.06],[0.945, 1.0725],[1.44, 1.0725],[1.37, 1.185],[1.495, 1.06625],[1.37, 0.96],[1.44, 1.06]]",both,up,double,left,no
"[[0,0.785],[0,1.335]]","[[-0.275,1.06],[0.275,1.06]]","[[0.275,1.335],[-0.275,0.785]]","[[-0.275,1.335],[0.275,0.785]]","[[0,-0.785],[0,-1.335]]","[[-0.275,-1.06],[0.275,-1.06]]","[[0.275,-1.335],[-0.275,-0.785]]","[[-0.275,-1.335],[0.275,-0.785]]","[[-0.945, -1.06],[-0.945, -1.0725],[-1.44, -1.0725],[-1.37, -1.185],[-1.495, -1.06625],[-1.37, -0.96],[-1.44, -1.06]]","[[-0.335, -1.06],[-0.335, -1.0725],[-0.83, -1.0725],[-0.76, -1.185],[-0.885, -1.06625],[-0.76, -0.96],[-0.83, -1.06]]","[[-0.275, -1.06],[-0.275, -1.0725],[0.22, -1.0725],[0.15, -1.185],[0.275, -1.06625],[0.15, -0.96],[0.22, -1.06]]","[[0.885, -1.06],[0.885, -1.0725],[0.39, -1.0725],[0.46, -1.185],[0.335, -1.06625],[0.46, -0.96],[0.39, -1.06]]","[[1.495, -1.06],[1.495, -1.0725],[1.0, -1.0725],[1.07, -1.185],[0.945, -1.06625],[1.07, -0.96],[1.0, -1.06]]",both,down,double,right,no
"[[0,0.785],[0,1.335]]","[[-0.275,1.06],[0.275,1.06]]","[[0.275,1.335],[-0.275,0.785]]","[[-0.275,1.335],[0.275,0.785]]","[[0,-0.785],[0,-1.335]]","[[-0.275,-1.06],[0.275,-1.06]]","[[0.275,-1.335],[-0.275,-0.785]]","[[-0.275,-1.335],[0.275,-0.785]]","[[-1.495, -1.06],[-1.495, -1.0725],[-1.0, -1.0725],[-1.07, -1.185],[-0.945, -1.06625],[-1.07, -0.96],[-1.0, -1.06]]","[[-0.885, -1.06],[-0.885, -1.0725],[-0.39, -1.0725],[-0.46, -1.185],[-0.335, -1.06625],[-0.46, -0.96],[-0.39, -1.06]]","[[0.275, -1.06],[0.275, -1.0725],[-0.22, -1.0725],[-0.15, -1.185],[-0.275, -1.06625],[-0.15, -0.96],[-0.22, -1.06]]","[[0.335, -1.06],[0.335, -1.0725],[0.83, -1.0725],[0.76, -1.185],[0.885, -1.06625],[0.76, -0.96],[0.83, -1.06]]","[[0.945, -1.06],[0.945, -1.0725],[1.44, -1.0725],[1.37, -1.185],[1.495, -1.06625],[1.37, -0.96],[1.44, -1.06]]",both,down,double,left,no
